20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=9
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /css/fontawesome-all.css HTTP/1.1
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: sending 404 for file not found: pub2/css/fontawesome-all.css
20210620-135505, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=10
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /websdr-base.js HTTP/1.1
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Disconnect on socket ((nil))
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: closing http connection hp=1
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /HamHomer.png HTTP/1.1
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /css/fontawesome-all.css HTTP/1.1
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: sending 404 for file not found: pub2/css/fontawesome-all.css
20210620-135505, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /edgelower.png HTTP/1.1
20210620-135505, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=1
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: Disconnect on socket ((nil))
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: closing http connection hp=8
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=8
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /edgeupper.png HTTP/1.1
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=11
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /carrier.png HTTP/1.1
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /smeter2.png HTTP/1.1
20210620-135505, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135505, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /debian-bouton.png HTTP/1.1
20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
